Level1,Level2,Difference,CI_low,CI_high,BF,Std_Difference
(Intact-Hood-AIXR),(Intact-Hood-TTI),0.09112057189691655,-0.02867444858707179,0.21053490022219654,0.01021082304341549,0.271599000056641
(Intact-Hood-AIXR),(Intact-Hood-ULD),0.0942362679562721,-0.03663619391961129,0.21566485447335498,0.005064027131911862,0.28088581549891783
(Intact-Hood-AIXR),(Intact-Open-AIXR),0.14350424102184337,0.020234715017494888,0.2694029962634578,0.0338756129298663,0.4277366521526273
(Intact-Hood-AIXR),(Intact-Open-TTI),0.13258088135653182,0.006750035168519227,0.2508814570062176,0.02927248242656317,0.3951778841313518
(Intact-Hood-AIXR),(Intact-Open-ULD),0.07993696988571557,-0.054602590740780395,0.19408970590069793,0.009154016864507722,0.23826453935209385
(Intact-Hood-AIXR),(Water-Hood-AIXR),0.044737215612517756,-0.10467631864672197,0.18414580127084815,0.004929541941722509,0.13334621120929704
(Intact-Hood-AIXR),(Water-Hood-TTI),0.012155393515193492,-0.1309991923810479,0.15540804162992292,0.0036819720067644756,0.036231036036037514
(Intact-Hood-AIXR),(Water-Hood-ULD),0.017112030353193683,-0.11849218368285039,0.16391369022626426,0.0034046493298358887,0.05100506105387564
(Intact-Hood-AIXR),(Water-Open-AIXR),0.029210602828431836,-0.10706387818680026,0.16995667906936507,0.0030968197058228995,0.08706673316568858
(Intact-Hood-AIXR),(Water-Open-TTI),0.0037348541210341876,-0.13565943736125913,0.16107034169306625,0.00476221300791856,0.011132312094988465
(Intact-Hood-AIXR),(Water-Open-ULD),0.04597842904987011,-0.10210792346202993,0.1921159302267485,0.00218510334692775,0.13704584040854237
(Intact-Hood-TTI),(Intact-Hood-ULD),0.0026807264486334616,-0.12281244474599197,0.11244099351828032,0.0015788646203453746,0.007990321040762435
(Intact-Hood-TTI),(Intact-Open-AIXR),0.05060564388297721,-0.06251838850774893,0.17458539158484263,0.0015504089999121707,0.15083797203762045
(Intact-Hood-TTI),(Intact-Open-TTI),0.040467787833837525,-0.07920851424644028,0.15116167014078047,0.0017738817329544165,0.12062051939937946
(Intact-Hood-TTI),(Intact-Open-ULD),-0.012945281931964394,-0.1370699306825388,0.11137481803995941,0.0014558252260290206,-0.038585420997470796
(Intact-Hood-TTI),(Water-Hood-AIXR),-0.04543841343609917,-0.19970651666504205,0.08715278829586653,0.0020482705178754886,-0.13543624009917332
(Intact-Hood-TTI),(Water-Hood-TTI),-0.07832448419343911,-0.21559052661236922,0.06595936957874035,0.0024040063241301344,-0.2334582756016493
(Intact-Hood-TTI),(Water-Hood-ULD),-0.07490631341815908,-0.21182579928973097,0.07261754946434386,0.0030052641391254244,-0.2232698873457114
(Intact-Hood-TTI),(Water-Open-AIXR),-0.0631243877355789,-0.20254368931168976,0.07429422634685415,0.0018791337548126849,-0.18815203012077536
(Intact-Hood-TTI),(Water-Open-TTI),-0.0850802955957684,-0.23235103605396748,0.06038715927554533,0.0029062434596252226,-0.2535950195140959
(Intact-Hood-TTI),(Water-Open-ULD),-0.04657720167330413,-0.18774162515019585,0.09667448465580179,0.001163823178695526,-0.13883057510017652
(Intact-Hood-ULD),(Intact-Open-AIXR),0.048913194303438566,-0.07218369443644387,0.17395405960120203,0.001544247197320184,0.14579336351640754
(Intact-Hood-ULD),(Intact-Open-TTI),0.038824763745861086,-0.07638980801015174,0.16064438777748338,0.001774068201345073,0.1157232312231353
(Intact-Hood-ULD),(Intact-Open-ULD),-0.01535092668848197,-0.12981588211458484,0.10571668825856555,0.0016929973362931174,-0.04575581838150856
(Intact-Hood-ULD),(Water-Hood-AIXR),-0.04940146995560639,-0.18891036661489757,0.09354918394015384,0.00224031149391497,-0.14724874484380757
(Intact-Hood-ULD),(Water-Hood-TTI),-0.08091791072093685,-0.236962206241477,0.05613253994950451,0.0026205044015055797,-0.2411883856846457
