Level1,Level2,Difference,CI_low,CI_high,log_BF
Water TTI,DRA TTI,-0.2284707878022494,-0.2987565082293502,-0.14588559995636619,0
Water TTI,Water ULD,0.5913276956669642,0.5165045951406251,0.6618201220711697,0
Water TTI,DRA ULD,0.2602678616077556,0.18930350349760516,0.33586229041764426,0
Water TTI,Water AIXR,0.6302401498225678,0.5588849552310906,0.7032011630916912,0
Water TTI,DRA AIXR,0.4860013876814695,0.41340925581325294,0.5565364603315093,0
DRA TTI,Water ULD,0.8199027048291705,0.7444331264664799,0.8922347559453012,0
DRA TTI,DRA ULD,0.4887842847667767,0.41278211138037424,0.5626419315512816,0
DRA TTI,Water AIXR,0.858836887856548,0.7892986587795825,0.9337031575471695,0
DRA TTI,DRA AIXR,0.7144943600723956,0.6354242284633109,0.7881043764253732,0
Water ULD,DRA ULD,-0.33102604709800865,-0.3991562297929754,-0.2489304886836612,0
Water ULD,Water AIXR,0.038517000335256846,-0.028090945022770875,0.11519501283066624,0
Water ULD,DRA AIXR,-0.10523755385457045,-0.18576718753948018,-0.03435815096773087,0
DRA ULD,Water AIXR,0.3699995142973709,0.29938251460571674,0.4492628064917872,0
DRA ULD,DRA AIXR,0.2261535013094993,0.14647748306257302,0.2976704598774784,0
Water AIXR,DRA AIXR,-0.14394444668521533,-0.221753298476151,-0.069486761469153,0
