Level1,Level2,Difference,CI_low,CI_high,log_BF
(DRA-Open-AIXR),(DRA-Open-ULD),39.31519649123919,24.123335133701445,52.80095987185669,0
(DRA-Open-AIXR),(DRA-Open-TTI),44.89268812476844,31.764652295707783,58.68809920837396,0
(DRA-Open-AIXR),(DRA-Hood-ULD),58.407941921272496,44.182865600693624,72.76882025917529,0
(DRA-Open-AIXR),(DRA-Hood-TTI),58.90067702468022,45.434615631296595,74.21663995080125,0
(DRA-Open-AIXR),(DRA-Hood-AIXR),50.91594956596611,38.01772581191075,63.80629275991323,0
(DRA-Open-AIXR),(Open-ULD),-0.34168843405891636,-16.804993034088355,16.743328213878883,0
(DRA-Open-AIXR),(Hood-TTI),45.53515192161546,27.69164742308603,59.61178015113842,0
(DRA-Open-AIXR),(Open-AIXR),-14.998164268003741,-32.7876887206761,1.123149803703896,0
(DRA-Open-AIXR),(Open-TTI),32.31159043916472,15.332917749024148,48.669455965782475,0
(DRA-Open-AIXR),(Hood-AIXR),41.211145989070886,23.424153437026632,55.337521415901186,0
(DRA-Open-AIXR),(Hood-ULD),41.726746940376515,25.890408709946172,57.113208823023584,0
(DRA-Open-ULD),(DRA-Open-TTI),5.496822988217367,-7.889375972659227,18.11438115003575,0
(DRA-Open-ULD),(DRA-Hood-ULD),19.03316596081497,4.59818973742594,32.453602349757944,0
(DRA-Open-ULD),(DRA-Hood-TTI),19.573258955834284,5.439796751981689,33.929944387997615,0
(DRA-Open-ULD),(DRA-Hood-AIXR),11.252857596164668,-0.1575012101708424,23.67917638276476,0
(DRA-Open-ULD),(Open-ULD),-39.78640012706542,-56.13492020058659,-23.262169130033012,0
(DRA-Open-ULD),(Hood-TTI),5.958559666922566,-8.605372990394269,20.914109180633154,0
(DRA-Open-ULD),(Open-AIXR),-54.169375252509866,-72.07180143358381,-38.82664815396977,0
(DRA-Open-ULD),(Open-TTI),-6.885688591739083,-23.394976162038226,9.586146537496308,0
(DRA-Open-ULD),(Hood-AIXR),1.8431155261686207,-13.245368353194344,16.997997949287598,0
(DRA-Open-ULD),(Hood-ULD),2.4021608232058185,-12.582742200676055,17.913978148726315,0
(DRA-Open-TTI),(DRA-Hood-ULD),13.297191896760252,0.18150284340251588,26.479208084494914,0
(DRA-Open-TTI),(DRA-Hood-TTI),14.045870604063706,0.09957899731140785,27.63646262569266,0
(DRA-Open-TTI),(DRA-Hood-AIXR),5.799588735839128,-5.44000685961991,16.38416011778193,0
(DRA-Open-TTI),(Open-ULD),-45.29473103411406,-61.64753855691397,-29.141297808547094,0
(DRA-Open-TTI),(Hood-TTI),0.6318999244198089,-14.035635084686714,15.260505703285705,0
(DRA-Open-TTI),(Open-AIXR),-59.810131209995276,-76.1659559478544,-42.91468335776493,0
(DRA-Open-TTI),(Open-TTI),-12.549867070814338,-28.574231313495893,3.3853548336456996,0
(DRA-Open-TTI),(Hood-AIXR),-3.753503375194942,-19.136059005861203,9.916502143223084,0
(DRA-Open-TTI),(Hood-ULD),-3.007232794525512,-18.740122052882565,11.487418069059206,0
(DRA-Hood-ULD),(DRA-Hood-TTI),0.5426151150606735,-13.163010054279555,15.418395805890855,0
(DRA-Hood-ULD),(DRA-Hood-AIXR),-7.2785501217587605,-20.50990036714287,3.751372347415309,0
(DRA-Hood-ULD),(Open-ULD),-58.78992944194438,-75.85445844174329,-42.42134014913818,0
(DRA-Hood-ULD),(Hood-TTI),-12.957878151634043,-29.070772805513446,1.8752404122853257,0
(DRA-Hood-ULD),(Open-AIXR),-73.43661124091534,-89.23708040872778,-56.45106990273651,0
(DRA-Hood-ULD),(Open-TTI),-25.93310152476237,-43.45733423754142,-9.260523053330246,0
(DRA-Hood-ULD),(Hood-AIXR),-17.182896492812382,-31.86767334234395,-1.26518602180575,0
(DRA-Hood-ULD),(Hood-ULD),-16.719173090429777,-30.910253991913375,-1.2606365096752477,0
(DRA-Hood-TTI),(DRA-Hood-AIXR),-7.817817948460524,-21.294911023162964,3.9126940848335963,0
(DRA-Hood-TTI),(Open-ULD),-59.42394481706878,-75.66422154224315,-42.2586282973673,0
(DRA-Hood-TTI),(Hood-TTI),-13.402242717713207,-29.190779772112524,1.044536802963119,0
(DRA-Hood-TTI),(Open-AIXR),-73.86973966646438,-91.43324108685701,-57.94000373933049,0
(DRA-Hood-TTI),(Open-TTI),-26.704137075060316,-42.28265163090859,-8.54782286157511,0
(DRA-Hood-TTI),(Hood-AIXR),-17.781352605611186,-33.990647341053474,-2.3314262602545277,0
(DRA-Hood-TTI),(Hood-ULD),-17.1274735318516,-32.536625658101386,-1.957878301137626,0
(DRA-Hood-AIXR),(Open-ULD),-51.22876531272051,-67.21059414988791,-35.70334936503066,0
(DRA-Hood-AIXR),(Hood-TTI),-5.206730659027185,-18.712329920738316,6.72539804569946,0
(DRA-Hood-AIXR),(Open-AIXR),-65.69211406520967,-81.45841121498012,-50.029214573008076,0
(DRA-Hood-AIXR),(Open-TTI),-18.37734951843578,-34.11687371631683,-4.280751353957214,0
(DRA-Hood-AIXR),(Hood-AIXR),-9.343533280233872,-23.852780681496778,2.94329472153953,0
(DRA-Hood-AIXR),(Hood-ULD),-8.633842195859168,-23.306303695432774,3.169583407543964,0
(Open-ULD),(Hood-TTI),45.75787758992353,28.60051165400725,62.480781784173494,0
(Open-ULD),(Open-AIXR),-14.38876193836547,-33.2906857611645,2.797247943596986,0
(Open-ULD),(Open-TTI),32.748576596558365,13.405023665740053,49.69358236409099,0
(Open-ULD),(Hood-AIXR),41.38428320116142,23.901824534513935,58.48142534274447,0
