Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
AIXR DRA - TTI DRA,-0.5079577161818851,0.036977981106266204,0.95,-0.5809632688331714,-0.4362167623295301,18.159277878071837
AIXR DRA - ULD DRA,-0.1580941403745949,0.036597343143804514,0.95,-0.23272494121506782,-0.08791330112612439,1.747363088588508
AIXR DRA - AIXR Water,0.24678057037710383,0.036806047149458385,0.95,0.16946903724151774,0.31544624366952423,6.737808260016218
AIXR DRA - TTI Water,-0.3360204619274211,0.03742543372822751,0.95,-0.4097901345378432,-0.2607371453199514,7.452683666003068
AIXR DRA - ULD Water,0.09442400658781185,0.03731855750582303,0.95,0.024347051348393656,0.169322219513095,-2.6720142590990625
TTI DRA - ULD DRA,0.3498635758072902,0.037178689787464,0.95,0.2797372997533589,0.421873193956551,11.260708986436747
TTI DRA - AIXR Water,0.754738286558989,0.03659551691417532,0.95,0.6799782571300463,0.8264923475185437,44.38739887044973
TTI DRA - TTI Water,0.17193725425446407,0.037292184198962026,0.95,0.10288113510650998,0.2507059357729302,1.5140114439443781
TTI DRA - ULD Water,0.6023817227696969,0.03800548362507233,0.95,0.5220024919528035,0.6728546293160065,24.52533806078657
ULD DRA - AIXR Water,0.40487471075169873,0.03709384019316117,0.95,0.33199042810133683,0.47732437754731016,19.294830683271446
ULD DRA - TTI Water,-0.17792632155282614,0.03707572663368969,0.95,-0.2500412678714703,-0.10692515331230368,0.3783135623758893
ULD DRA - ULD Water,0.25251814696240676,0.037510205665315176,0.95,0.1822592981849569,0.3270471873528136,6.9551695536428735
AIXR Water - TTI Water,-0.5828010323045248,0.03687734058346294,0.95,-0.6545041882165226,-0.5071291791584471,21.894240751386885
AIXR Water - ULD Water,-0.152356563789292,0.037539316019920804,0.95,-0.2334648719971817,-0.08525160524775632,0.9936812821789638
TTI Water - ULD Water,0.4304444685152329,0.036526852911702636,0.95,0.359064848794195,0.5020565327379032,6.301719175134537
