Level1,Level2,Difference,CI_low,CI_high,log_BF
(DRA-Open-AIXR),(DRA-Open-ULD),-0.06251835242107912,-0.1757259854892768,0.06552177150436744,0
(DRA-Open-AIXR),(DRA-Open-TTI),-0.012163779403944808,-0.12561779592044364,0.11202167976945054,0
(DRA-Open-AIXR),(DRA-Hood-ULD),-0.049820981345084656,-0.1690684539673451,0.07402040373689081,0
(DRA-Open-AIXR),(DRA-Hood-TTI),-0.0486605564505402,-0.17428530691898972,0.06832762484832944,0
(DRA-Open-AIXR),(DRA-Hood-AIXR),-0.14092431018774054,-0.26107089615819823,-0.017602711112966712,0
(DRA-Open-AIXR),(Open-ULD),-0.09837144995907071,-0.23446847158730105,0.044530585589802524,0
(DRA-Open-AIXR),(Hood-TTI),-0.13153580693830141,-0.2738539637541698,0.0040491214773863415,0
(DRA-Open-AIXR),(Open-AIXR),-0.11334839658802719,-0.25418840062285175,0.02443617943981735,0
(DRA-Open-AIXR),(Open-TTI),-0.13732487962784834,-0.2696330182977722,0.016359412773001902,0
(DRA-Open-AIXR),(Hood-AIXR),-0.09617696261290369,-0.2358625536357702,0.03432754752037098,0
(DRA-Open-AIXR),(Hood-ULD),-0.12563652013276105,-0.2565899704826706,0.017040032131431626,0
(DRA-Open-ULD),(DRA-Open-TTI),0.049971122868024284,-0.07111364351782867,0.1656916153522439,0
(DRA-Open-ULD),(DRA-Hood-ULD),0.013896331314604084,-0.11086756011165985,0.13254452885994206,0
(DRA-Open-ULD),(DRA-Hood-TTI),0.013316548527435378,-0.10609462295860801,0.14392549870279478,0
(DRA-Open-ULD),(DRA-Hood-AIXR),-0.0770331780806183,-0.20629584862024605,0.04283022069255604,0
(DRA-Open-ULD),(Open-ULD),-0.03527507066461104,-0.17584672550219987,0.10965119109750993,0
(DRA-Open-ULD),(Hood-TTI),-0.06687276668163947,-0.19955668779044078,0.06981219657233009,0
(DRA-Open-ULD),(Open-AIXR),-0.05047568937602556,-0.17608077791942858,0.0954264836462347,0
(DRA-Open-ULD),(Open-TTI),-0.07250355886494032,-0.21668269652290298,0.06817977742905817,0
(DRA-Open-ULD),(Hood-AIXR),-0.03556455287454445,-0.17727416980303934,0.10817350001875393,0
(DRA-Open-ULD),(Hood-ULD),-0.06181832845101605,-0.2045930138168287,0.07096329162583066,0
(DRA-Open-TTI),(DRA-Hood-ULD),-0.03684984509857797,-0.15553854084848767,0.08161367832810729,0
(DRA-Open-TTI),(DRA-Hood-TTI),-0.03808293750619133,-0.16016445584153438,0.07831845644711377,0
(DRA-Open-TTI),(DRA-Hood-AIXR),-0.1281639572507436,-0.24963983561277858,-0.003679325830569957,0
(DRA-Open-TTI),(Open-ULD),-0.08544994872903561,-0.2244245364793783,0.052561872578165136,0
(DRA-Open-TTI),(Hood-TTI),-0.11707859875745341,-0.25535637539248734,0.019283250632918553,0
(DRA-Open-TTI),(Open-AIXR),-0.10220020399161642,-0.2340938880061505,0.03837544903677764,0
(DRA-Open-TTI),(Open-TTI),-0.1227661339230872,-0.27264420135760353,0.013720687674710241,0
(DRA-Open-TTI),(Hood-AIXR),-0.0841197436108139,-0.23013799234394033,0.04832179650562901,0
(DRA-Open-TTI),(Hood-ULD),-0.11360746436972462,-0.2507981682430336,0.021337321986319435,0
(DRA-Hood-ULD),(DRA-Hood-TTI),-0.0014277814916249937,-0.1290213753320047,0.11969573616795645,0
(DRA-Hood-ULD),(DRA-Hood-AIXR),-0.09067618558559923,-0.20945357075820895,0.03554815877981457,0
(DRA-Hood-ULD),(Open-ULD),-0.048975798135289766,-0.18827376160553164,0.0946914109303682,0
(DRA-Hood-ULD),(Hood-TTI),-0.0814418522160564,-0.2226295183996767,0.05280284154364978,0
(DRA-Hood-ULD),(Open-AIXR),-0.06464588481237206,-0.19537115564075935,0.08957488566496644,0
(DRA-Hood-ULD),(Open-TTI),-0.08774464641980612,-0.2408405865124268,0.04531092436531109,0
(DRA-Hood-ULD),(Hood-AIXR),-0.04853833671776625,-0.18548492537480674,0.10698342866221522,0
(DRA-Hood-ULD),(Hood-ULD),-0.0766195172638296,-0.2198981246845237,0.06252584358305935,0
(DRA-Hood-TTI),(DRA-Hood-AIXR),-0.09000450731635362,-0.20642983345435767,0.03876993342185764,0
(DRA-Hood-TTI),(Open-ULD),-0.048195959129755384,-0.17791053494825348,0.09605228234536711,0
(DRA-Hood-TTI),(Hood-TTI),-0.07899654921029038,-0.21460792272772652,0.06261872355282486,0
(DRA-Hood-TTI),(Open-AIXR),-0.06344807808748307,-0.20741428167339399,0.07127721380009541,0
(DRA-Hood-TTI),(Open-TTI),-0.08658621705277036,-0.22384942322496626,0.06536295895148975,0
(DRA-Hood-TTI),(Hood-AIXR),-0.04802817384087847,-0.183628959240082,0.09924037402654226,0
(DRA-Hood-TTI),(Hood-ULD),-0.07578541028620416,-0.21028403985518546,0.07267215011958006,0
(DRA-Hood-AIXR),(Open-ULD),0.04074007787882858,-0.0958763522514452,0.1928131612104177,0
(DRA-Hood-AIXR),(Hood-TTI),0.011760476542090822,-0.12769058272179323,0.1490707414822087,0
(DRA-Hood-AIXR),(Open-AIXR),0.02554446960102824,-0.11804117638019751,0.1651012105055783,0
(DRA-Hood-AIXR),(Open-TTI),0.002576099882510424,-0.14638349057060807,0.1519783470492862,0
(DRA-Hood-AIXR),(Hood-AIXR),0.04183838430175037,-0.1104635824979338,0.17904832468568893,0
(DRA-Hood-AIXR),(Hood-ULD),0.01567274789941428,-0.12912203873711778,0.1571955156931598,0
